candidate_count,scenario,p_safe,replicates,reserve_probability,reserve_ci95_low,reserve_ci95_high,selected_gate_probability_given_reserve,unconditional_selected_qualification_probability,unconditional_selected_ci95_low,unconditional_selected_ci95_high,candidate_and_selected_joint_probability,candidate_gate_and_reserve_probability,inference_aligned_selected_probability_given_reserve,unconditional_inference_aligned_qualification_probability,candidate_and_inference_aligned_joint_probability,selected_pass_given_full_candidate_failure,selected_pass_given_candidate_condition_failure,selected_rank_pass_given_reserve,selected_effective_rank_pass_given_reserve,selected_condition_pass_given_reserve,selected_pair_cosine_pass_given_reserve,selected_cross_block_spread_pass_given_reserve
12,MODERATE_AXIS4,0.75,20000,0.38965,0.38291315769910106,0.3964292246584812,0.7099961503913769,0.27665,0.2704936096577403,0.28289217284852164,0.0073,0.0076,0.9734377005004491,0.3793,0.0076,0.7050124329276273,0.7050124329276273,1.0,0.9735660207878866,0.7170537662004363,0.9998716797125625,1.0
12,MODERATE_AXIS4,0.775,20000,0.47095,0.46403842710654053,0.4778727301883191,0.7133453657500797,0.33595,0.32943613455204906,0.34252687247795893,0.0083,0.00875,0.973351735853063,0.4584,0.00875,0.7088922544353093,0.7088922544353093,1.0,0.9734579042361184,0.7206709841809109,0.9998938316169445,1.0
12,MODERATE_AXIS4,0.8,20000,0.5607,0.5538107279108115,0.5675659589119773,0.7165150704476547,0.40175,0.39497507376006014,0.40856266132496444,0.01045,0.0109,0.9732477260567148,0.5457,0.0109,0.7117133503092034,0.7117133503092034,1.0,0.9735152487961477,0.7235598359193864,0.9997324772605671,1.0
12,MODERATE_AXIS4,0.85,20000,0.7337,0.7275295316978767,0.7397807106495,0.7197083276543547,0.52805,0.5211266694315893,0.5349625573456633,0.0131,0.01365,0.9745808913724956,0.71505,0.01365,0.7151586695368377,0.7151586695368377,1.0,0.9747853346054246,0.72672754531825,0.999795556767071,1.0
12,MODERATE_AXIS4,0.9,20000,0.88565,0.88116529971799,0.8899865828719367,0.7265285383616553,0.64345,0.6367848268239769,0.6500600780315267,0.01565,0.0163,0.9743691074352171,0.86295,0.0163,0.7221487318111233,0.7221487318111233,1.0,0.9744820188562073,0.7328515779371083,0.9998306328685147,1.0
12,ADVERSARIAL_AXIS4_TOP10,NA,20000,1.0,1.0,1.0,0.7191,0.7191,0.7128295920610778,0.7252862577391371,0.0178,0.0187,0.97335,0.97335,0.0187,0.7146642209314175,0.7146642209314175,1.0,0.97345,0.72645,0.9999,1.0
16,INDEPENDENT,0.6,20000,0.5283,0.5213768169161105,0.5352123138431141,0.7226954381979935,0.3818,0.3750901993170923,0.3885551980065708,0.09185,0.1106,0.977096346772667,0.5162,0.11045,0.6941584869523582,0.6942415898479588,1.0,0.9775695627484384,0.7301722506151808,0.9995267840242287,1.0
16,INDEPENDENT,0.65,20000,0.68745,0.6809904024162781,0.6938376032662883,0.7247072514364681,0.4982,0.49127153682435565,0.5051291545054463,0.12105,0.1448,0.9758527892937668,0.67085,0.1447,0.6950152031696305,0.69498709915223,1.0,0.9760709869808714,0.7320532402356535,0.9997818023128955,1.0
16,INDEPENDENT,0.7,20000,0.82525,0.8199246618819602,0.8304504186635437,0.7277794607694638,0.6006,0.5937934937418325,0.6073678686036792,0.14465,0.1715,0.9766737352317479,0.806,0.171,0.6974378585086042,0.6974680639485964,1.0,0.976916086034535,0.7346258709481975,0.999757649197213,1.0
16,INDEPENDENT,0.75,20000,0.9218,0.9179975164028309,0.9254404819802391,0.7247233673247993,0.66805,0.6614918718335524,0.6745435848479909,0.1621,0.19285,0.9767303102625299,0.90035,0.19235,0.6940805267851019,0.6941071551073609,1.0,0.9770015187676285,0.7312866131481883,0.9997287914949012,1.0
16,INDEPENDENT,0.775,20000,0.9516,0.9485380101265751,0.9544885429075513,0.7238335435056746,0.6888,0.6823477386956704,0.6951797484895443,0.16585,0.19935,0.9765132408575031,0.92925,0.19885,0.6951811232967764,0.695207073057236,1.0,0.976723413198823,0.730401429171921,0.9997898276586801,1.0
16,INDEPENDENT,0.8,20000,0.97385,0.9715457019696663,0.9759723054599634,0.7233146788519793,0.7044,0.6980371878171316,0.7106843078431329,0.17,0.20385,0.9759203162704728,0.9504,0.2034,0.694025974025974,0.6940511754773347,1.0,0.9761256867073985,0.7301432458797557,0.9997946295630744,1.0
16,INDEPENDENT,0.85,20000,0.995,0.9939228956291228,0.9958869886753337,0.724321608040201,0.7207,0.7144401403427424,0.7268750949420931,0.17475,0.2084,0.9750753768844221,0.9702,0.2079,0.6940630561912027,0.6940877304513668,1.0,0.9751758793969849,0.7320603015075376,0.9998994974874372,1.0
16,INDEPENDENT,0.9,20000,0.99925,0.9987628321888334,0.9995454198091459,0.7231923942957218,0.72265,0.716403128856398,0.7288113574878187,0.17535,0.2093,0.9740305228921692,0.9733,0.20895,0.6928286600417748,0.6928530733683611,1.0,0.9741305979484614,0.7304478358769076,0.9998999249437078,1.0
16,WEAK_AXIS4,0.6,20000,0.5271,0.5201761248587672,0.5340134667869919,0.7283247960538797,0.3839,0.37718278377305214,0.3906618069991754,0.0934,0.11165,0.9769493454752419,0.51495,0.11165,0.6992417860151643,0.6993259508907077,1.0,0.9769493454752419,0.7343957503320053,1.0,1.0
16,WEAK_AXIS4,0.65,20000,0.6865,0.68003527785606,0.6928930926950129,0.7260014566642389,0.4984,0.4914714889956584,0.5053291255197212,0.12135,0.14295,0.9761835396941005,0.67015,0.1429,0.6936804341826879,0.6937442502299908,1.0,0.9762563729060452,0.7321922796795338,0.9999271667880554,1.0
