metric,primary,audit,absolute_difference
D.17.8,0.016666666666666666,0.016666666666666666,0.0
D.17.9,0.0,0.0,0.0
D.18.0,0.008333333333333333,0.008333333333333333,0.0
D.18.1,0.0,0.0,0.0
D.18.10,0.0,0.0,0.0
D.18.11,0.025,0.025,0.0
D.18.12,0.0,0.0,0.0
D.18.13,-0.008333333333333333,-0.008333333333333333,0.0
D.18.14,0.016666666666666666,0.016666666666666666,0.0
D.18.15,0.025,0.025,0.0
D.18.16,0.016666666666666666,0.016666666666666666,0.0
D.18.17,0.025,0.025,0.0
D.18.18,0.0,0.0,0.0
D.18.19,0.008333333333333333,0.008333333333333333,0.0
D.18.2,0.016666666666666666,0.016666666666666666,0.0
D.18.20,0.008333333333333333,0.008333333333333333,0.0
D.18.21,0.008333333333333333,0.008333333333333333,0.0
D.18.22,0.0,0.0,0.0
D.18.23,-0.008333333333333333,-0.008333333333333333,0.0
D.18.3,0.008333333333333333,0.008333333333333333,0.0
D.18.4,-0.008333333333333333,-0.008333333333333333,0.0
D.18.5,0.008333333333333333,0.008333333333333333,0.0
D.18.6,0.008333333333333333,0.008333333333333333,0.0
D.18.7,0.03333333333333333,0.03333333333333333,0.0
D.18.8,-0.008333333333333333,-0.008333333333333333,0.0
D.18.9,-0.008333333333333333,-0.008333333333333333,0.0
D.19.0,0.008333333333333333,0.008333333333333333,0.0
D.19.1,0.025,0.025,0.0
D.19.10,0.025,0.025,0.0
D.19.11,0.0,0.0,0.0
D.19.12,-0.008333333333333333,-0.008333333333333333,0.0
D.19.13,0.008333333333333333,0.008333333333333333,0.0
D.19.14,0.025,0.025,0.0
D.19.15,0.008333333333333333,0.008333333333333333,0.0
D.19.16,-0.008333333333333333,-0.008333333333333333,0.0
D.19.17,0.025,0.025,0.0
D.19.18,0.008333333333333333,0.008333333333333333,0.0
D.19.19,0.0,0.0,0.0
D.19.2,0.008333333333333333,0.008333333333333333,0.0
D.19.20,0.008333333333333333,0.008333333333333333,0.0
D.19.21,0.008333333333333333,0.008333333333333333,0.0
D.19.22,0.008333333333333333,0.008333333333333333,0.0
D.19.23,0.008333333333333333,0.008333333333333333,0.0
D.19.3,0.0,0.0,0.0
D.19.4,-0.008333333333333333,-0.008333333333333333,0.0
D.19.5,0.016666666666666666,0.016666666666666666,0.0
D.19.6,0.025,0.025,0.0
D.19.7,0.0,0.0,0.0
D.19.8,0.008333333333333333,0.008333333333333333,0.0
D.19.9,-0.025,-0.025,0.0
D.2.0,0.008333333333333333,0.008333333333333333,0.0
D.2.1,0.008333333333333333,0.008333333333333333,0.0
D.2.10,0.03333333333333333,0.03333333333333333,0.0
D.2.11,0.025,0.025,0.0
D.2.12,0.008333333333333333,0.008333333333333333,0.0
D.2.13,0.016666666666666666,0.016666666666666666,0.0
D.2.14,0.041666666666666664,0.041666666666666664,0.0
D.2.15,0.025,0.025,0.0
D.2.16,0.0,0.0,0.0
D.2.17,0.03333333333333333,0.03333333333333333,0.0
D.2.18,0.016666666666666666,0.016666666666666666,0.0
D.2.19,0.008333333333333333,0.008333333333333333,0.0
D.2.2,0.0,0.0,0.0
D.2.20,0.016666666666666666,0.016666666666666666,0.0
D.2.21,0.0,0.0,0.0
D.2.22,0.008333333333333333,0.008333333333333333,0.0
D.2.23,0.016666666666666666,0.016666666666666666,0.0
D.2.3,-0.008333333333333333,-0.008333333333333333,0.0
