design,independent_units,raw_rows,rollouts,random_controls,transfer_fraction,within_family_rho,se_multiplier,effective_units,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability,joint_probability_monte_carlo_se
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.75,0.5,0.8465616732800195,111.6279069767442,100000,0.0446771224937344,0.02903254229323309,0.05790125116629919,0.04817307042139104,0.85591,0.65615,0.64472,0.97804,0.4912,0.0015808939243352159
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,1.0,0.5,0.8465616732800195,111.6279069767442,100000,0.05435463659147877,0.03871005639097745,0.05790125116629919,0.04817307042139104,0.95765,0.88202,0.81893,0.99764,0.75577,0.0013586085054201596
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.0,0.75,0.9264628073124863,93.20388349514565,100000,0.015644580200501315,0.0,0.06336615204252362,0.05271979522359201,0.15956,0.02571,0.10022,0.17366,0.00201,0.00014163191377652144
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.5,0.75,0.9264628073124863,93.20388349514565,100000,0.03499960839599004,0.019355028195488726,0.06336615204252362,0.05271979522359201,0.58232,0.30008,0.39434,0.82165,0.15923,0.0011570471343035254
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.75,0.75,0.9264628073124863,93.20388349514565,100000,0.0446771224937344,0.02903254229323309,0.06336615204252362,0.05271979522359201,0.78991,0.58029,0.5974,0.96,0.41344,0.0015572648021450943
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,1.0,0.75,0.9264628073124863,93.20388349514565,100000,0.05435463659147877,0.03871005639097745,0.06336615204252362,0.05271979522359201,0.9188,0.81995,0.77221,0.99421,0.67933,0.00147594292267689
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.0,1.0,1.0,80.0,100000,0.015644580200501315,0.0,0.06839578614746362,0.05690438386460794,0.14367,0.02496,0.10192,0.16304,0.00202,0.00014198308349940846
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.5,1.0,1.0,80.0,100000,0.03499960839599004,0.019355028195488726,0.06839578614746362,0.05690438386460794,0.51802,0.26587,0.37449,0.77862,0.13122,0.001067713967315217
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.75,1.0,1.0,80.0,100000,0.0446771224937344,0.02903254229323309,0.06839578614746362,0.05690438386460794,0.72896,0.51959,0.55975,0.93939,0.35184,0.001510127856838619
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,1.0,1.0,1.0,80.0,100000,0.05435463659147877,0.03871005639097745,0.06839578614746362,0.05690438386460794,0.87668,0.76016,0.73034,0.98918,0.60734,0.0015442736946538976
C_ONE_ROW_PER_FAMILY,100,100,4,8,0.0,,1.0,100.0,100000,0.015644580200501315,0.0,0.06117505088010684,0.0508968282156022,0.17261,0.02554,0.10123,0.17577,0.00229,0.0001511540902522985
