statistic,bin_left,bin_right,count,density
global_equal_shell_mean,0.6115322324808732,0.6136203997195006,64,0.6129777233941242
global_equal_shell_mean,0.6136203997195006,0.6157085669581279,42,0.402266630977394
global_equal_shell_mean,0.6157085669581279,0.6177967341967553,39,0.37353330019329445
global_equal_shell_mean,0.6177967341967553,0.6198849014353827,26,0.24902220012886295
global_equal_shell_mean,0.6198849014353827,0.6219730686740101,29,0.2777555309129478
global_equal_shell_mean,0.6219730686740101,0.6240612359126375,19,0.18197776163263063
global_equal_shell_mean,0.6240612359126375,0.6261494031512649,11,0.1053555462083651
global_equal_shell_mean,0.6261494031512649,0.6282375703898924,8,0.07662221542426145
global_equal_shell_mean,0.6282375703898924,0.6303257376285196,6,0.0574666615682022
global_equal_shell_mean,0.6303257376285196,0.6324139048671471,7,0.06704443849622878
global_equal_shell_mean,0.6324139048671471,0.6345020721057745,2,0.01915555385606638
global_equal_shell_mean,0.6345020721057745,0.6365902393444018,6,0.05746666156819914
global_equal_shell_mean,0.6365902393444018,0.6386784065830293,2,0.019155553856065363
global_equal_shell_mean,0.6386784065830293,0.6407665738216567,1,0.00957777692803319
global_equal_shell_mean,0.6407665738216567,0.6428547410602841,2,0.01915555385606638
global_equal_shell_mean,0.6428547410602841,0.6449429082989114,3,0.02873333078409957
global_equal_shell_mean,0.6449429082989114,0.6470310755375388,0,0.0
global_equal_shell_mean,0.6470310755375388,0.6491192427761663,1,0.009577776928032682
global_equal_shell_mean,0.6491192427761663,0.6512074100147937,0,0.0
global_equal_shell_mean,0.6512074100147937,0.653295577253421,1,0.00957777692803319
median_row_association,0.4232433928249292,0.4258470769169795,1,0.007681423434227278
median_row_association,0.4258470769169795,0.42845076100902985,0,0.0
median_row_association,0.42845076100902985,0.43105444510108015,0,0.0
median_row_association,0.43105444510108015,0.43365812919313046,0,0.0
median_row_association,0.43365812919313046,0.43626181328518077,0,0.0
median_row_association,0.43626181328518077,0.43886549737723113,0,0.0
median_row_association,0.43886549737723113,0.44146918146928144,0,0.0
median_row_association,0.44146918146928144,0.44407286556133174,0,0.0
median_row_association,0.44407286556133174,0.44667654965338205,0,0.0
median_row_association,0.44667654965338205,0.4492802337454324,1,0.007681423434227114
median_row_association,0.4492802337454324,0.4518839178374827,2,0.015362846868454556
median_row_association,0.4518839178374827,0.454487601929533,0,0.0
median_row_association,0.454487601929533,0.45709128602158333,0,0.0
median_row_association,0.45709128602158333,0.4596949701136337,1,0.007681423434227114
median_row_association,0.4596949701136337,0.462298654205684,0,0.0
median_row_association,0.462298654205684,0.4649023382977343,1,0.007681423434227278
median_row_association,0.4649023382977343,0.46750602238978467,0,0.0
median_row_association,0.46750602238978467,0.470109706481835,4,0.030725693736909112
median_row_association,0.470109706481835,0.4727133905738853,5,0.038407117171136394
median_row_association,0.4727133905738853,0.4753170746659356,3,0.023044270302681833
median_row_association,0.4753170746659356,0.47792075875798595,3,0.02304427030268134
median_row_association,0.47792075875798595,0.48052444285003626,12,0.09217708121072733
median_row_association,0.48052444285003626,0.48312812694208657,4,0.030725693736909112
median_row_association,0.48312812694208657,0.4857318110341369,1,0.007681423434227278
median_row_association,0.4857318110341369,0.48833549512618724,12,0.09217708121072536
median_row_association,0.48833549512618724,0.49093917921823754,14,0.10753992807918189
median_row_association,0.49093917921823754,0.49354286331028785,12,0.09217708121072733
median_row_association,0.49354286331028785,0.4961465474023382,14,0.1075399280791796
median_row_association,0.4961465474023382,0.4987502314943885,25,0.19203558585568195
median_row_association,0.4987502314943885,0.5013539155864388,23,0.1766727389872274
