fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,5,1,7.393513210276842e-05,0.035567876484925876,0.9999892946818727,0.125
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,6,1,0.000335942542974966,0.023963383194857357,0.9999819211219265,0.125
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,7,1,0.00014995532028365838,0.04356238339479468,0.9999542211100473,0.1875
G12_1_FIXTURE_02,E1_vs_E2,97.8516893058,8,1,0.00011348034539450283,0.029961315888119344,0.9999886817691535,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,0,1,0.0001867051726370555,0.018016145323327848,0.9998885475587537,0.3125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,1,1,0.00040862162296408095,0.013169142869234207,0.9998780381042819,0.2109375
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,2,1,0.00011728680531769645,0.005500274078499956,0.9999874300725693,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,3,1,0.00011145559972533035,0.024801480975751744,0.9999920945275264,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,4,1,8.420834507424859e-05,0.022538662251276875,0.999987821825644,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,5,1,0.0001043001856550813,0.0264342332433678,0.9999897072640123,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,6,1,9.293475594916305e-05,0.016326387968740974,0.9999828122515667,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,7,1,8.397168119887618e-05,0.0025184109496301232,0.9999897902664873,0.09375
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,8,1,7.480927967304133e-05,0.001883731828254298,0.9999866379127481,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,9,1,8.32481919660895e-05,0.019281533486251945,0.9999880760009688,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,10,1,8.255177455134525e-05,0.005081756136210203,0.9999874597258221,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,11,1,9.48480794749339e-05,0.016082069367463703,0.9999700223199662,0.15625
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,12,1,0.0004682224490620587,0.06243439158925668,0.9999442617089491,0.15625
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,13,1,8.51014071451484e-05,0.007394884018053105,0.9999859212396435,0.15625
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,14,1,6.413406025903304e-05,0.0071326094979600185,0.999986385738638,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,15,1,7.677967276933275e-05,0.017673521910765544,0.9999836198209957,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,16,1,0.00014212709585324621,0.01075474749196026,0.9999668946968316,0.1875
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,17,1,9.856685365691427e-05,0.02272489086258389,0.9999892240733851,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,18,1,8.20496492726749e-05,0.015916965945081074,0.9999843153659703,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,19,1,8.909056323024077e-05,0.0014439935164638484,0.9999895331749026,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,20,1,0.00010023003607399924,0.0233442342836625,0.9999854889068834,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,21,1,0.00012950123205058878,0.016778667438032357,0.9999837695462526,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,22,1,9.539636256755658e-05,0.001069501591169697,0.9999884204013422,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,23,1,7.949507814236363e-05,0.03291863750149737,0.9999915751214212,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,24,1,9.691505630415035e-05,0.002573378214668409,0.9999901945197742,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,25,1,0.00022151316739232863,0.11297390553142961,0.9999779334187879,0.1875
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,26,1,9.29445318286701e-05,0.04883923553002667,0.9999827280253337,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,27,1,7.411664088538108e-05,0.001821955881968762,0.9999801391526972,0.125
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,28,1,0.00011310649032111517,0.008490975105964083,0.999968654403846,0.1875
G12_1_FIXTURE_03,E0_vs_E1,NO_HOOK,29,1,0.00010019251598863597,0.049305970729783155,0.9999862072938375,0.125
