fixture_id,dtype,layer,component,token_index,max_abs_difference,rms_difference
G12_1_FIXTURE_00,BF16,20,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,20,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,20,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,20,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,20,residual,6,0.25,0.023595903291734215
G12_1_FIXTURE_00,BF16,21,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,21,attention,6,0.0709381103515625,0.007403617241275843
G12_1_FIXTURE_00,BF16,21,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,21,mlp,6,0.125,0.012182683914668818
G12_1_FIXTURE_00,BF16,21,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,21,residual,6,0.5,0.02670738152058373
G12_1_FIXTURE_00,BF16,22,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,22,attention,6,0.0546875,0.010171920254277803
G12_1_FIXTURE_00,BF16,22,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,22,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,22,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,22,mlp,3,0.0,0.0
